index,SEP_onset_time,ln_peak_intensity,peak_intensity,target,CME_DONKI_time,CME_DONKI_latitude,CME_DONKI_longitude,CME_DONKI_speed,CME_CDAW_time,CME_CDAW_MPA,CME_CDAW_LinearSpeed,VlogV,DONKI_half_width,Accelaration,2nd_order_speed_final,2nd_order_speed_20R,CPA,Halo,daily_sunspots,Type2_Viz_Area,solar_wind_speed,CMEs_in_past_month,CMEs_in_past_9hours,CMEs_with_speed_over_1000_in_past_9hours,max_CME_speed_in_past_day,diffusive_shock,connection_angle_degrees,half_richardson_value
75,,-1.609437912,0.2,0,5/6/2011 9:25,22,-165,850,5/6/2011 8:48,91,1024,7097.827129,69,4.8,1054,1049,76,0,45,0,361.3,14,1,0,850,7.54E-13,127.9636628,-4.427987833
76,,-1.609437912,0.2,0,5/9/2011 21:00,21,-68,1300,5/9/2011 20:57,73,1318,9468.341602,58,-4.9,1286,1306,55,0,84,6342000,325.7,12,1,1,1300,7.64E-10,-134.2497016,-4.873710758
77,,-1.609437912,0.2,0,5/11/2011 2:48,5,50,350,5/11/2011 2:48,283,745,4926.971243,33,3.3,767,776,320,0,66,0,362.2,12,1,0,350,1.02E-34,-14.17150474,-0.054308152
78,,-1.609437912,0.2,0,5/18/2011 18:54,-15,86,760,5/18/2011 18:24,266,1105,7743.398678,25,7.5,1156,1135,306,0,41,0,427.5,10,1,0,760,8.77E-16,35.34703832,-0.337861849
79,,-1.609437912,0.2,0,5/19/2011 4:36,20,36,611,5/19/2011 4:36,295,626,4031.033332,20,9.2,715,716,311,0,36,0,414,11,1,0,760,2.67E-30,-27.55612031,-0.205337957
80,,-1.609437912,0.2,0,5/24/2011 23:54,14,117,610,5/24/2011 21:24,290,657,4262.4084,45,25.2,938,890,302,0,11,0,369.8,11,1,0,610,2.59E-30,56.20558892,-0.854263988
81,,-1.609437912,0.2,0,5/29/2011 11:30,-5,-55,850,5/29/2011 10:36,116,646,4180.136479,38,5.8,724,685,119,0,98,0,719.2,10,1,0,850,7.54E-13,-86.87922771,-2.041103355
82,,-1.609437912,0.2,0,5/29/2011 21:30,-5,-55,915,5/29/2011 21:24,105,1407,10199.64559,40,3.4,1425,1416,107,0,98,15750900,642.8,10,1,0,915,8.25E-12,-90.65239051,-2.222243349
83,,-1.609437912,0.2,0,6/2/2011 7:40,-5,-30,950,6/2/2011 8:12,98,976,6718.259484,30,3.6,999,996,360,1,135,275000,475.7,10,1,0,950,2.02E-11,-78.22506404,-1.654721645
84,,-1.609437912,0.2,0,6/4/2011 7:09,25,117,1050,6/4/2011 6:48,284,1407,10199.64559,40,-57.6,1062,1294,360,1,115,6358500,346.5,10,1,1,1050,1.13E-10,55.1012091,-0.821023052
