CME_DONKI_speed_norm,CME_DONKI_latitude_norm,CME_DONKI_longitude_norm,CME_CDAW_MPA_norm,CME_CDAW_LinearSpeed_norm,DONKI_half_width_norm,Halo,ln_peak_intensity
0.206569343,0.713483146,0.297222222,0.113888889,0.206248008,0.287356322,0,0
0.197080292,0.741573034,0.183333333,0.1,0.192221868,0.310344828,0,0
0.063138686,0.466292135,0.777777778,0.725,0.071087026,0.275862069,0,0
0.114963504,0.365168539,0.763888889,0.719444444,0.110934013,0.425287356,0,0
0.033576642,0.741573034,0.869444444,0.241666667,0.109021358,0.32183908,0,0
0.198175182,0.308988764,0.525,0.491666667,0.177876953,0.563218391,1,0
0.145985401,0.308988764,0.158333333,0.355555556,0.112846669,0.206896552,0,0
0.289416058,0.662921348,0.413888889,0.186111111,0.32196366,0.436781609,0,0
0.133211679,0.58988764,0.483333333,0.208333333,0.211348422,0.068965517,0,0
0.087591241,0.775280899,0.483333333,0.113888889,0.126554033,0.172413793,0,0
0.142335766,0.230337079,0.333333333,0.302777778,0.12209117,0.310344828,0,0
0.255474453,0.792134831,0.386111111,0.077777778,0.208798215,0.149425287,0,0
0.186131387,0.213483146,0.569444444,0.536111111,0.13994262,0.390804598,0,0
0.136861314,0.488764045,0.75,0.722222222,0.105514823,0.183908046,0,0
0.156934307,0.662921348,0.330555556,0.183333333,0.166719796,0.149425287,0,0
0.041970803,0.741573034,0.644444444,0.913888889,0.168951227,0.206896552,0,0
0.020437956,0.758426966,0.788888889,0.908333333,0.048772713,0.333333333,0,0
0.071167883,0.758426966,0.777777778,0.325,0.124641377,0.459770115,0,0
0.094525547,0.252808989,0.425,0.438888889,0.071405802,0.218390805,0,0
0.095620438,0.702247191,0.836111111,0.883333333,0.080650303,0.24137931,0,0
0.124087591,0.674157303,0.947222222,0.930555556,0.062798852,0.149425287,0,0
0.166058394,0.859550562,0.805555556,0.930555556,0.275103602,0.195402299,0,0
0.116058394,0.612359551,0.819444444,0.811111111,0.106471151,0.425287356,0,0
0.117153285,0.640449438,0.119444444,0.119444444,0.072680905,0.356321839,0,0
0.131386861,0.393258427,0.255555556,0.305555556,0.125278929,0.183908046,0,0
0.166423358,0.353932584,0.225,0.341666667,0.138348741,0.413793103,0,0
0.09270073,0.893258427,0.533333333,0.991666667,0.154606312,0.183908046,0,0
0.162408759,0.696629213,0.505555556,0.994444444,0.10806503,0.103448276,0,0
0.058029197,0.224719101,0.675,0.338888889,0.051960472,0.287356322,0,0
0.083576642,0.382022472,0.930555556,0.652777778,0.085750717,0.16091954,0,0
0.129562044,0.769662921,0.75,0.886111111,0.107427478,0.103448276,0,0
0.045620438,0.58988764,0.75,0.808333333,0.054829455,0.264367816,0,0
0.295620438,0.943820225,0.491666667,0.005555556,0.204016576,0.091954023,0,0
0.105839416,0.550561798,0.652777778,0.752777778,0.075231113,0.045977011,0,0
0.116788321,0.775280899,0.6,0.916666667,0.073318457,0.057471264,0,0
0.054014599,0.578651685,0.777777778,0.841666667,0.04430985,0.390804598,0,0
0.098905109,0.606741573,0.755555556,0.819444444,0.096589098,0.425287356,0,0
0.07189781,0.54494382,0.763888889,0.761111111,0.082562958,0.206896552,0,0
0.028467153,0.702247191,0.483333333,0.863888889,0.03187759,0.195402299,0,0
0.154379562,0.337078652,0.694444444,0.683333333,0.094995218,0.24137931,0,0
0.343065693,0.848314607,0.919444444,0.672222222,0.087344597,0.344827586,0,0
0.091605839,0.797752809,0.483333333,0.708333333,0.078737647,0.402298851,0,0
0.333941606,0.584269663,0.033333333,0.063888889,0.233981511,0.494252874,1,0
0.102554745,0.775280899,0.127777778,0.061111111,0.076506216,0.356321839,0,0
0.197445255,0.640449438,0.336111111,0.141666667,0.196365955,0.356321839,0,0
0.178832117,0.348314607,0.483333333,0.116666667,0.089894804,0.275862069,0,0
0.552919708,0.561797753,0.958333333,0.877777778,0.117309531,0.402298851,0,0
0.215328467,0.634831461,0.777777778,0.852777778,0.148868346,0.229885057,0,0
0.193430657,0.702247191,0.15,0.15,0.162575709,0.103448276,0,0
0.350364964,0.696629213,0.852777778,0.863888889,0.183296143,0.379310345,0,0
0.087591241,0.657303371,0.483333333,0.744444444,0.185527574,0.264367816,0,0
0.206934307,0.606741573,0.722222222,0.808333333,0.264902773,0.517241379,1,0
0.635036496,0.741573034,0.25,0.122222222,0.641695888,0.402298851,0,0
0.109489051,0.314606742,0.25,0.372222222,0.102964616,0.333333333,0,0
0.181021898,0.488764045,0.669444444,0.791666667,0.207841887,0.425287356,0,0
0.370437956,0.803370787,0.083333333,0.066666667,0.373605355,0.482758621,1,0
0.078467153,0.471910112,0.25,0.297222222,0.093720115,0.32183908,0,0
0.142335766,0.438202247,0.25,0.302777778,0.106471151,0.356321839,0,0
0.110583942,0.674157303,0.447222222,0.058333333,0.182021039,0.114942529,0,0
0.069343066,0.471910112,0.675,0.738888889,0.03729678,0.137931034,0,0
0.038321168,0.617977528,0.627777778,0.925,0.128147912,0.16091954,1,0
0.076642336,0.207865169,0.905555556,0.25,0.091169908,0.471264368,0,0
0.145620438,0.303370787,0.85,0.580555556,0.205929232,0.425287356,1,0
0.143430657,0.505617978,0.244444444,0.25,0.133567102,0.149425287,0,0
0.051094891,0.337078652,0.744444444,0.941666667,0.124003825,0.367816092,0,0
0.086131387,0.314606742,0.413888889,0.319444444,0.098501753,0.517241379,1,0
0.197080292,0.775280899,0.3,0.111111111,0.182977367,0.344827586,0,0
0.094890511,0.252808989,0.380555556,0.397222222,0.091807459,0.264367816,0,0
0.224817518,0.769662921,0.191666667,0.075,0.303474657,0.804597701,1,0
0.07810219,0.803370787,0.872222222,0.905555556,0.06917437,0.172413793,0,0
0.116788321,0.426966292,0.758333333,0.697222222,0.071087026,0.08045977,0,0
0.136861314,0.179775281,0.980555556,0.541666667,0.119222187,0.517241379,0,0
0.047445255,0.825842697,0.466666667,0.027777778,0.074274785,0.218390805,0,0
0.133941606,0.556179775,0.169444444,0.222222222,0.128147912,0.310344828,0,0
0.244525547,0.56741573,0.222222222,0.252777778,0.2301562,0.379310345,1,0
0.105474453,0.595505618,0.272222222,0.197222222,0.110934013,0.310344828,0,0
0.148905109,0.47752809,0.683333333,0.725,0.132929551,0.183908046,0,0
0.167883212,0.382022472,0.202777778,0.294444444,0.155243864,0.436781609,0,0
